status,time,score,algorythm

False,0:00:14.972289,243,minimax

False,0:00:16.412669,252,minimax

True,0:00:17.460848,253,minimax

True,0:00:16.679770,253,minimax

False,0:00:15.988815,249,minimax

False,0:00:19.604012,217,minimax

False,0:00:05.174159,70,minimax

False,0:00:07.432171,98,minimax

True,0:00:18.048987,253,minimax

False,0:00:10.636813,142,minimax

False,0:00:14.825185,225,expectimax

False,0:00:11.865912,206,expectimax

False,0:00:03.977977,63,expectimax

False,0:00:13.648753,239,expectimax

False,0:00:08.244413,116,expectimax

False,0:00:08.810127,146,expectimax

False,0:00:04.611670,67,expectimax

True,0:00:17.774858,253,expectimax

False,0:00:16.378410,251,expectimax

False,0:00:17.549612,252,expectimax

True,0:00:18.286845,253,expectimax

True,0:00:17.834528,253,minimax

